Date,Day,Month,Year,Package,Title
17/02/2022,17,2,2022,epiR,Tools for the Analysis of Epidemiological Data
17/02/2022,17,2,2022,fastverse,A Suite of High-Performance Packages for Statistics and Data Manipulation
17/02/2022,17,2,2022,insight,Easy Access to Model Information for Various Model Objects
17/02/2022,17,2,2022,RSQLite,SQLite Interface for R
17/02/2022,17,2,2022,SpaDES,Develop and Run Spatially Explicit Discrete Event Simulation Models
17/02/2022,17,2,2022,stable,Probability Functions and Generalized Regression Models for Stable Distributions
17/02/2022,17,2,2022,terra,Spatial Data Analysis
17/02/2022,17,2,2022,TwoPhaseInd,Estimate Gene-Treatment Interaction Exploiting Randomization
16/02/2022,16,2,2022,academictwitteR,Access the Twitter Academic Research Product Track V2 API Endpoint
16/02/2022,16,2,2022,ArchaeoPhases,"Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'"
16/02/2022,16,2,2022,BiasCorrector,A GUI to Correct Measurement Bias in DNA Methylation Analyses
16/02/2022,16,2,2022,bigsnpr,Analysis of Massive SNP Arrays
16/02/2022,16,2,2022,bliss,Bayesian Functional Linear Regression with Sparse Step Functions
16/02/2022,16,2,2022,blogdown,Create Blogs and Websites with R Markdown
16/02/2022,16,2,2022,BSPADATA,Bayesian Proposal to Fit Spatial Econometric Models
16/02/2022,16,2,2022,campsis,Generic PK/PD Simulation Platform CAMPSIS
16/02/2022,16,2,2022,casabourse,Casablanca Stock Exchange Data
16/02/2022,16,2,2022,ctsem,Continuous Time Structural Equation Modelling
16/02/2022,16,2,2022,diseq,Estimation Methods for Markets in Equilibrium and Disequilibrium
16/02/2022,16,2,2022,easyDifferentialGeneCoexpression,Easily Performs Differential Coexpression Analysis
16/02/2022,16,2,2022,FastJM,Semi-Parametric Joint Modeling of Longitudinal and Survival Data
16/02/2022,16,2,2022,fido,Bayesian Multinomial Logistic Normal Regression
16/02/2022,16,2,2022,fixtuRes,Mock Data Generator
16/02/2022,16,2,2022,frictionless,Read and Write Frictionless Data Packages
16/02/2022,16,2,2022,ganGenerativeData,Generate Generative Data for a Data Source
16/02/2022,16,2,2022,ggdendro,Create Dendrograms and Tree Diagrams Using 'ggplot2'
16/02/2022,16,2,2022,gridpattern,'grid' Pattern Grobs
16/02/2022,16,2,2022,gWidgets2tcltk,Toolkit Implementation of gWidgets2 for tcltk
16/02/2022,16,2,2022,implicitMeasures,Compute Scores for Different Implicit Measures
16/02/2022,16,2,2022,irboost,Iteratively Reweighted Boosting for Robust Analysis
16/02/2022,16,2,2022,leaflet,Create Interactive Web Maps with the JavaScript 'Leaflet' Library
16/02/2022,16,2,2022,MazamaTimeSeries,Core Functionality for Environmental Time Series
16/02/2022,16,2,2022,mirai,Minimalist Async Evaluation Framework for R
16/02/2022,16,2,2022,mlr3proba,Probabilistic Supervised Learning for 'mlr3'
16/02/2022,16,2,2022,multiUS,Functions for the Courses Multivariate Analysis and Computer Intensive Methods
16/02/2022,16,2,2022,mvabund,Statistical Methods for Analysing Multivariate Abundance Data
16/02/2022,16,2,2022,newsmd,Creation of NEWS.md File
16/02/2022,16,2,2022,Numero,Statistical Framework to Define Subgroups in Complex Datasets
16/02/2022,16,2,2022,ordinalNet,Penalized Ordinal Regression
16/02/2022,16,2,2022,pdftools,"Text Extraction, Rendering and Converting of PDF Documents"
16/02/2022,16,2,2022,PDMIF,Fits Heterogeneous Panel Data Models
16/02/2022,16,2,2022,pkgcache,Cache 'CRAN'-Like Metadata and R Packages
16/02/2022,16,2,2022,pkgdepends,Package Dependency Resolution and Downloads
16/02/2022,16,2,2022,pkgdepR,Statically Determine Function Dependencies Between Packages
16/02/2022,16,2,2022,pkgsearch,Search and Query CRAN R Packages
16/02/2022,16,2,2022,QCA,Qualitative Comparative Analysis
16/02/2022,16,2,2022,rabhit,Inference Tool for Antibody Haplotype
16/02/2022,16,2,2022,ravetools,Signal Processing Toolbox for Analyzing 'Electrophysiology' Data
16/02/2022,16,2,2022,rBiasCorrection,Correct Bias in DNA Methylation Analyses
16/02/2022,16,2,2022,RCPA3,Data and Functions for R Companion to Political Analysis 3rd Ed
16/02/2022,16,2,2022,reconstructr,Session Reconstruction and Analysis
16/02/2022,16,2,2022,regweight,Convenience Functions for Implicit Regression Weights
16/02/2022,16,2,2022,respR,"Import, Process, Analyse, and Calculate Rates from Respirometry Data"
16/02/2022,16,2,2022,Rfast,A Collection of Efficient and Extremely Fast R Functions
16/02/2022,16,2,2022,rhype,Work with Hypergraphs in R
16/02/2022,16,2,2022,season,Seasonal Analysis of Health Data
16/02/2022,16,2,2022,serp,Smooth Effects on Response Penalty for CLM
16/02/2022,16,2,2022,sfnetworks,Tidy Geospatial Networks
16/02/2022,16,2,2022,spatstat.gui,Interactive Graphics Functions for the 'spatstat' Package
16/02/2022,16,2,2022,spatstat.Knet,Extension to 'spatstat' for Large Datasets on a Linear Network
16/02/2022,16,2,2022,spatstat.linnet,Linear Networks Functionality of the 'spatstat' Family
16/02/2022,16,2,2022,statgenGWAS,Genome Wide Association Studies
16/02/2022,16,2,2022,sumR,Approximates Summation of Discrete Series
16/02/2022,16,2,2022,supercells,Superpixels of Spatial Data
16/02/2022,16,2,2022,surveillance,Temporal and Spatio-Temporal Modeling and Monitoring of Epidemic Phenomena
16/02/2022,16,2,2022,survivalmodels,Models for Survival Analysis
16/02/2022,16,2,2022,tabulate,Pretty Console Output for Tables
16/02/2022,16,2,2022,tidytable,Tidy Interface to 'data.table'
16/02/2022,16,2,2022,tinytex,"Helper Functions to Install and Maintain TeX Live, and Compile LaTeX Documents"
16/02/2022,16,2,2022,vetiver,"Version, Share, Deploy, and Monitor Models"
16/02/2022,16,2,2022,zen4R,Interface to 'Zenodo' REST API
15/02/2022,15,2,2022,admiral.test,Test Data for the 'admiral' Package
15/02/2022,15,2,2022,arkdb,Archive and Unarchive Databases Using Flat Files
15/02/2022,15,2,2022,Davies,The Davies Quantile Function
15/02/2022,15,2,2022,distr6,The Complete R6 Probability Distributions Interface
15/02/2022,15,2,2022,epidm,UK Epidemiological Data Management
15/02/2022,15,2,2022,FLightR,Reconstruct Animal Paths from Solar Geolocation Loggers Data
15/02/2022,15,2,2022,garma,Fitting and Forecasting Gegenbauer ARMA Time Series Models
15/02/2022,15,2,2022,GDPuc,Easily Convert GDP Data
15/02/2022,15,2,2022,ggdensity,Interpretable Bivariate Density Visualization with ggplot2
15/02/2022,15,2,2022,ggnewscale,Multiple Fill and Colour Scales in 'ggplot2'
15/02/2022,15,2,2022,gjam,Generalized Joint Attribute Modeling
15/02/2022,15,2,2022,greeks,Sensitivities of Prices of Financial Options and Implied Volatilites
15/02/2022,15,2,2022,groupwalk,Implement the Group Walk Algorithm
15/02/2022,15,2,2022,gt,Easily Create Presentation-Ready Display Tables
15/02/2022,15,2,2022,ifCNVR,Isolation-Forest Based 'CNV' Detection from 'NGS' Data
15/02/2022,15,2,2022,jaatha,Simulation-Based Maximum Likelihood Parameter Estimation
15/02/2022,15,2,2022,jack,"Jack, Zonal, and Schur Polynomials"
15/02/2022,15,2,2022,lacunaritycovariance,Gliding Box Lacunarity and Other Metrics for 2D Random Closed Sets
15/02/2022,15,2,2022,Landmarking,Analysis using Landmark Models
15/02/2022,15,2,2022,legion,Forecasting Using Multivariate Models
15/02/2022,15,2,2022,LMN,Inference for Linear Models with Nuisance Parameters
15/02/2022,15,2,2022,LogisticRCI,Linear and Logistic Regression-Based Reliable Change Index
15/02/2022,15,2,2022,metaboData,Example Metabolomics Data Sets
15/02/2022,15,2,2022,metR,Tools for Easier Analysis of Meteorological Fields
15/02/2022,15,2,2022,midasml,Estimation and Prediction Methods for High-Dimensional Mixed Frequency Time Series Data
15/02/2022,15,2,2022,mrbin,"Magnetic Resonance Binning, Integration and Normalization"
15/02/2022,15,2,2022,omnibus,"Helper Tools for Managing Data, Dates, Missing Values, and Text"
15/02/2022,15,2,2022,optimization,Flexible Optimization of Complex Loss Functions with State and Parameter Space Constraints
15/02/2022,15,2,2022,param6,A Fast and Lightweight R6 Parameter Interface
15/02/2022,15,2,2022,pkgndep,Analyzing Dependency Heaviness of R Packages
15/02/2022,15,2,2022,polyRAD,Genotype Calling with Uncertainty from Sequencing Data in Polyploids and Diploids
15/02/2022,15,2,2022,QuESTr,Constructing Quantitative Environment Sensor using Transcriptomes
15/02/2022,15,2,2022,riAFTBART,A Flexible Approach for Causal Inference with Multiple Treatments and Clustered Survival Outcomes
15/02/2022,15,2,2022,robustlmm,Robust Linear Mixed Effects Models
15/02/2022,15,2,2022,see,"Visualisation Toolbox for 'easystats' and Extra Geoms, Themes and Color Palettes for 'ggplot2'"
15/02/2022,15,2,2022,simplevis,Simple 'ggplot2' and 'leaflet' Visualisation with Less Brainpower
15/02/2022,15,2,2022,spatstat.core,Core Functionality of the 'spatstat' Family
15/02/2022,15,2,2022,startR,Automatically Retrieve Multidimensional Distributed Data Sets
15/02/2022,15,2,2022,tmvtnsim,Truncated Multivariate Normal and t Distribution Simulation
15/02/2022,15,2,2022,trackeRapp,"Interface for the Analysis of Running, Cycling and Swimming Data from GPS-Enabled Tracking Devices"
15/02/2022,15,2,2022,vandalico,Evaluation of Presence-Absence Models
14/02/2022,14,2,2022,AlphaPart,Partition/Decomposition of Breeding Values by Paths of Information
